,recording_ID,mic_ID,measured_call_datetime,GPSDatetime2,UTC,rec,measured_bearing,measured_gender,Q,Index,UTC.1,Duration,f1,f2,Best,spectrogram
0,1,3,2024-02-05 22:30:31,2024-02-05 22:30:31,2024-02-05 22:30:28.068,R03,5.02186585500649,F,1,3,2024-02-05 22:30:28.068,6.998,624.761904761905,1950.47619047619,287.731718772728,spectros/XC125862_50.png
1,2,6,2024-02-05 22:31:01,2024-02-05 22:30:33,2024-02-05 22:33:54.313,R06,4.10939144253854,F,1,6,2024-02-05 22:33:54.313,2.041,979.2,1538.74285714286,235.450786024636,spectros/XC233201_40.png
2,3,3,2024-02-05 22:58:13,2024-02-05 22:58:13,2024-02-05 22:58:09.696,R03,0.550963780635014,F,0,3,2024-02-05 22:58:09.696,7.144,594.285714285714,2194.28571428571,31.567899294958,spectros/XC205444_10.png
3,4,9,2024-02-05 22:58:13,2024-02-05 22:58:13,2024-02-05 22:58:15.455,R11,1.72460900073395,F,0,9,2024-02-05 22:58:15.455,7.873,681.290322580645,2291.61290322581,98.8128170523298,spectros/XC124898_20.png
4,5,12,2024-02-05 22:58:14,2024-02-05 22:58:12,2024-02-05 22:58:18.554,R14,5.60095824303584,F,0,12,2024-02-05 22:58:18.554,6.196,718.716577540107,2395.72192513369,320.911268554962,spectros/XC233200_40.png
5,6,11,2024-02-05 22:58:15,2024-02-05 22:58:13,2024-02-05 22:58:20.012,R13,5.66304671239342,F,0,11,2024-02-05 22:58:20.012,6.852,594.782608695652,2003.47826086957,324.468675805579,spectros/XC227239_30.png
6,7,12,2024-02-05 22:58:39,2024-02-05 22:58:38,2024-02-05 22:58:43.669,R14,5.66495038571315,F,0,12,2024-02-05 22:58:43.669,11.81,530.48128342246,2669.51871657754,324.577748252371,spectros/XC227239_40.png
7,8,3,2024-02-05 22:58:41,2024-02-05 22:58:41,2024-02-05 22:58:38.274,R03,5.25775362089089,F,0,3,2024-02-05 22:58:38.274,7.654,670.47619047619,2590.47619047619,301.247092196674,spectros/XC122413_25.png
8,9,6,2024-02-05 22:58:42,2024-02-05 22:58:14,2024-02-05 23:01:36.160,R06,4.88958191037301,F,0,6,2024-02-05 23:01:36.160,6.634,576.0,2139.42857142857,280.152407047888,spectros/XC233200_20.png
9,10,9,2024-02-05 22:58:43,2024-02-05 22:58:42,2024-02-05 22:58:44.690,R11,4.70898382588839,F,0,9,2024-02-05 22:58:44.690,6.561,758.709677419355,2353.54838709677,269.804899018772,spectros/XC227239_35.png
