"mic_id","Index","Station","lat","lng","Trex","UTM_X","UTM_Y"
1,1,"I2",15.98712,106.8636,1,699432.294221388,1768404.18173084
2,2,"D2",15.98593,106.8665,2,699743.912038532,1768275.27521321
3,3,"A2",15.98963,106.8576,3,698787.533108225,1768676.20174262
4,4,"J2",15.98611,106.856,4,698619.737739463,1768285.13539184
5,5,"E2",15.9896,106.8637,5,699440.539105416,1768678.72511961
6,6,"G2",15.98809,106.8594,6,698981.738390173,1768507.50133238
7,7,"C2",15.99056,106.8659,7,699675.085837396,1768787.07509934
8,8,"N2",15.98947,106.8614,10,699194.463476971,1768662.13331211
9,9,"M2",15.99027,106.8551,11,698519.288539053,1768744.63735284
10,10,"K2",15.98623,106.8536,12,698362.706918217,1768296.12372547
11,11,"H2",15.98477,106.8521,13,698203.575702821,1768133.12422353
12,12,"B2",15.98432,106.8496,14,697936.400128681,1768080.94412853
13,13,"L2",15.9864,106.8611,15,699165.390509565,1768322.10689554
14,14,"F2",15.98645,106.8589,16,698929.837709796,1768325.53379268
